,FOXO1,FOXO3,GATA4,GATA6,HIF1A,KLF4,KLF5,MEF2A,NFAT5,NFKB1,NKX25,NOTCH1,RUNX1,SHMT2,SOD1,TBX5,TGFB1,TRIM28,YY1
HDAC1,0.06671435638565361,-0.04136953730910594,0.3121236567837005,0.1466274425635261,0.0551528700867016,0.24217984846189658,0.2704183607124752,-0.22480018811776506,0.22840546530506756,0.5370141877286039,0.4279011618253216,0.5408364817043374,0.48076066092979375,0.4928996328455132,0.1523289437940379,-0.049399875077228025,0.5754639427326234,0.7293696190888622,0.5084503087486388
HDAC2,0.03654935676979482,0.28748167112390216,0.27084108106586224,0.14917901658077234,0.877286729461503,-0.647041616029338,0.2542185753947858,0.4381924064058345,0.42111852793974797,0.6620661090111812,0.4448991140307303,0.022182911627884567,0.612329039528215,0.7603222080751633,-0.010538235144792888,-0.336007106198739,0.6539100700403518,0.4635234786931803,0.9642140885475855
HDAC3,-0.1895835797867225,-0.1568831915070521,0.6734365343587154,0.5527177876923094,0.17951594864234893,-0.11803019229423818,-0.2458936491508776,0.23831660687859205,0.07676026659307653,0.14489698063973036,0.6914390268837095,-0.030470884820500192,0.13256049768918005,0.24901892753862867,0.4752678667437694,0.22437476019743338,0.19216015770322242,0.4322299484896815,0.3789837841273789
HDAC4,0.004009898940833004,0.02639860261984253,0.4110390475195608,0.361508772996182,0.08730090079825692,0.06365697423166289,-0.06901551009589038,0.21315884008221297,0.18524569398742496,0.20244405497554163,0.33426343859550006,0.06732908439721062,0.05848256311701229,0.1291144910533498,0.33567834876655783,0.1691621377666901,0.13210426071179157,0.2896341346219552,0.37755058741400427
HDAC5,0.027793840905353487,-0.12819092531979148,0.4374690033017453,0.36116090553013336,-0.30884324774159966,0.509081009463459,-0.042698419457047325,-0.11770973364718114,0.10671335677395628,0.16966112198659347,0.3352343899199067,0.34599077179971044,0.015801971291642923,0.020136184527081817,0.4168811001487381,0.30300045640439005,0.11994550143265065,0.44797011150301613,0.18224257509720562
HDAC6,-0.2834057780149142,-0.47708318429398155,0.6922332061984159,0.5085566277352218,-0.281500689054429,0.28817834261540964,-0.28015639149212357,-0.26163371818533915,-0.16554354510711958,-0.0013974419475530195,0.7831361544792746,0.24084051973400278,0.1251147172332601,0.15709970873941215,0.5097384809063006,0.33830039931605005,0.18225175169610267,0.6144691420378179,-0.012612246582980808
HDAC7,0.27516082831931077,0.0072864544109943795,-0.26831516837052377,-0.4274778887020974,-0.2014079504570145,0.5795567975853565,0.7153208354267215,-0.7899954352774079,0.19655640027015628,0.668400494578516,-0.04482811347928581,0.9761257400760345,0.6669905380878126,0.5325100126189969,-0.318380129225909,-0.3417866599128066,0.7422126160378824,0.7509709297660554,0.28052541961834426
HDAC8,-0.06178568894635765,0.1546281581809953,0.4867650844570585,0.3703889529616686,0.7091064880166357,-0.5438690286030565,0.023189089096659447,0.48873821907147713,0.32668632800129555,0.4766592303647265,0.5853207990217261,-0.07896940367419006,0.4202358658511375,0.5843118541177403,0.21857440995394076,-0.11155645111478518,0.47085045961100963,0.4327345850849549,0.824934372781123
HDAC9,0.2579824478933495,0.4355445287975466,0.29780189472006796,0.4395048895152216,0.12530305283433646,0.11808551747512046,-0.11648612566929237,0.7530624859369505,0.4497716345365044,0.13726638883823095,-0.1294369272902732,-0.21265775106657978,-0.3705389886655394,-0.26604765033376276,0.4328945935023287,0.3227615077773775,-0.2589276287553627,-0.18908475277130135,0.5328678384328148
HDAC10,-0.11712060985535658,-0.3691637892971475,0.11581380074316619,-0.09422132654494274,-0.21258991589441403,0.28804608148989064,0.21565023435574393,-0.7024990312256729,-0.14600761572146348,0.252193692491993,0.4197976140855061,0.5874093462767667,0.5006869835686626,0.4296948383860739,-0.055805973901055635,-0.12079607189676228,0.5174669565791158,0.6855300164979059,-0.04324871289977765
