,SCN5A,CACNA1C,KCNH2,KCNQ1,KCNJ2,ATP1A1,SLC8A1,ATP2A2,RYR2,GJA1
FOXO1,-0.002728028685966275,-0.0003606179030699436,-0.010574542017257282,-0.0009956611750794896,0.013135332237525632,0.0019800071247280805,0.012079099942605202,-0.0011468504028091157,0.0067394057045850305,0.00787286801319282
FOXO3,0.020883119538328346,0.008578679993750296,0.016564208909252837,0.006804673522847505,0.005284318550510735,0.024343267316515312,0.02358921641233178,0.024666641571654192,0.022058114497833008,0.01740368559905591
GATA4,0.03463517498370983,0.019776631497661904,0.03984303674757324,0.0232459722114104,0.018134429575202782,0.01006192727767083,0.02846818759130445,0.03375039861730843,0.030145055991738594,0.023039597349173522
GATA6,0.016128339658064633,0.010326181198997357,0.011537009719374,0.01642074696379216,0.03000329848020541,-0.013921696836443525,0.02508441638570655,0.01558489587084775,0.02773939904066383,0.019450420845371227
HIF1A,0.04265149327120879,0.018546129752681398,0.055526258971484894,0.010738587458533653,-0.025782613914569468,0.0646275906847417,0.017288413584021077,0.04601206413719817,0.014448373942922395,0.014172570684343013
KLF4,-0.035925504412813475,-0.013784097382477068,-0.05138980363862185,-0.008291649256821266,0.032863796015747467,-0.04894851712249395,-0.0031687159795299497,-0.037939389392969876,-0.007045769837939273,-0.004284910001084629
KLF5,-0.024281884007765177,-0.00996460503881671,-0.027202459886891097,-0.01522031629679692,-0.00594769501858163,0.005196965122168297,-0.012297309035740382,-0.024355620960370684,-0.023690226405380526,-0.011125062397478295
MEF2A,0.04228000591858923,0.012603032089330361,0.025008731333171306,0.015173068698535356,0.01847773867657273,0.023607153437966346,0.04956761376035712,0.051790894167921146,0.05998732134931771,0.037026347696940805
NFAT5,0.014912454375570735,0.0054875004672701655,0.003043073274142887,0.005094929452898659,0.0165323783322839,0.014960635842921005,0.02918621824783486,0.019730143771294065,0.027198663405727002,0.02083131102546716
NFKB1,-0.007517791442138127,-0.004309625368944906,-0.020068457576699027,-0.007205728946460943,0.00990509704450519,0.009092830287401812,0.012628473168569932,-0.003810247039416809,0.005139612054856927,0.0073575125911987905
NKX25,0.020555023832040106,0.0195135867449636,0.04712953011036893,0.019089955613267675,-0.004157134203100012,0.012992080295134089,-0.0038319513753236924,0.012197207809056122,-0.010796478603302772,-0.00010401043531340089
NOTCH1,-0.0299147439208664,-0.00594191073401425,-0.021600946474093104,-0.008278412439460094,0.0015501047168445057,-0.013839637651575016,-0.022714335719191892,-0.03660343743434254,-0.0372045272807643,-0.017728551509584814
RUNX1,-0.025492365971924925,-0.006613035762346168,-0.01594881386649942,-0.013430124174104085,-0.015248074705921101,0.009082793726530617,-0.024710137734655857,-0.029666546573078944,-0.04035050342441611,-0.019548143004144005
SHMT2,0.006466948431840405,0.01093567506273485,0.03353318067635533,0.0018596526610049852,-0.029018976985017743,0.0403690319737551,-0.018129634949414598,0.00036796750670340544,-0.03410201375688484,-0.012425079737948727
SOD1,0.020564420776603577,0.0076099555357482754,0.007023849876289571,0.012769382358636632,0.02792233268016586,-0.00492528345765719,0.03388890927799196,0.024648054808394822,0.04010557233615965,0.025291812964406166
TBX5,0.013290025622842237,0.004126195787068123,-0.0032402972015945727,0.013500294393583556,0.03720210718182473,-0.02850836785682817,0.030561106358862857,0.016179307068562274,0.04155707990270894,0.023025083865647663
TGFB1,-0.017931688922217203,-0.0015539613461233773,-0.005607674711911002,-0.0075847274636261335,-0.011370668128907722,0.010874847351058656,-0.019618496862643057,-0.022985338229753606,-0.03549566571640495,-0.015217414927264448
TRIM28,-0.01625834047967924,0.002552592752202239,-0.0014463105177828495,-0.0010096086637051303,-6.586550094425711e-05,0.0008194353731451839,-0.016240955318514837,-0.023806126788714282,-0.033262124778246464,-0.01218293234886235
YY1,0.02164693567936491,0.010929655551712552,0.01964961753455252,0.008145522002526008,0.006680180096894509,0.028963152678849163,0.024945368378283157,0.02451764747203101,0.01952631820583494,0.01838007648248383
