,SCN5A,CACNA1C,KCNH2,KCNQ1,KCNJ2,ATP1A1,SLC8A1,ATP2A2,RYR2,GJA1
FOXO1,-0.009757851718745023,-0.008712893895281683,-0.010708256681815204,-0.010864953967275,-0.00502422285880393,0.019849725249567796,-0.004600193812504354,0.001197350606949017,-0.006479489389361207,-0.006949467624886809
FOXO3,0.0018908150188902944,-0.00561116097377582,0.0028333597841621854,-0.009657838906832944,0.011264329393259057,0.013518519820958178,0.013268964777678138,0.011810182093863872,0.013415911033801142,0.0005012851192441115
GATA4,0.053897795818810955,0.03391919659097248,0.04507889021604261,0.03897040593843703,0.020344165286315857,0.023197895706847136,0.043448100050283454,0.05011209900134932,0.047602498188087566,0.037866583930640824
GATA6,0.03282426991284471,0.019833222544073024,0.03166988297181918,0.010685909900779153,0.03985435988315169,-0.015430688540678536,0.03410311333732289,0.00997101754649266,0.03407792009663996,0.02034375286923711
HIF1A,0.018378513985633328,0.0060988959370663134,0.01023938959910667,0.020159306644171898,-0.020819560289601816,0.0641803131134194,0.01567007564803929,0.05576510575490872,0.020238154456497733,0.015795392724286175
KLF4,-0.014822367053853603,-0.00399420565750301,-0.012187425090719677,-0.014884020823432409,0.009690666096994548,-0.02980264130522581,-0.015461725846569303,-0.03895676829337343,-0.020756964291354634,-0.012472604157125014
KLF5,-0.026764151402281267,-0.015034782359216538,-0.0241393121428123,-0.027628666493064485,0.0038502248816341513,-0.011109577263136739,-0.020551785017393565,-0.03774920013485453,-0.027273226573208142,-0.020834346044571093
MEF2A,0.05185211096477715,0.030004362361979467,0.04424907195475156,0.032585047752014276,0.025364983446881612,0.024415252605441983,0.04673875663059125,0.05054470351193533,0.050666805637310686,0.035956969161348495
NFAT5,0.021716590580004178,0.013203291565604128,0.018002380064762565,0.004840721833270684,0.025650851386030522,0.0070864434196159015,0.02239887014094151,0.009608753578093076,0.020302851643442414,0.013121228849159783
NFKB1,-0.002889427836295874,-0.004668112234099674,-0.006082445055051999,-0.004500175179415035,-0.006960341892706897,0.0315701857546608,0.0002546065837385593,0.012487588086918593,-0.0009118904130337702,-0.0017193570022695683
NKX25,0.034905888270752736,0.018706045014613037,0.03324740651627182,0.02065713577006276,0.022437872284487827,-0.0003659608230848066,0.03465278287404556,0.031179016310228184,0.03903781692219739,0.02410776951352989
NOTCH1,0.002808090160817987,0.01736098711404456,-0.005496910428610022,0.0056133944027165214,0.005829489851527713,-0.0065428953853758,-0.017395480692625743,-0.03571021410267496,-0.02712426100019103,-0.0003809330398446705
RUNX1,-0.016090936500286077,-0.004134994400569609,-0.020500859368196102,-0.0058838648239246056,-0.017945016454434033,0.01756594508917272,-0.02370128224672944,-0.016527887651966666,-0.028854023436248485,-0.011111845318365232
SHMT2,0.01649153066415823,0.0162833756900623,0.0051588719532120655,0.019613199895039398,-0.011545314975936858,0.042867076355546346,0.0013082387301178338,0.019531867031863017,-0.0012484941547059854,0.012275762008568352
SOD1,0.0285139102241952,0.007781411015522219,0.028471128148040318,0.011210895358985002,0.018860589789743955,0.017148622264918346,0.03855208409407996,0.04424378139942392,0.044462365939905046,0.020127614017381914
TBX5,0.022326809096400956,0.007355127280690111,0.026103754337098172,0.005849875464663009,0.02755350809337069,-0.016769136955272802,0.031436838826511146,0.018894004841693436,0.035943921867332355,0.014691371725267542
TGFB1,-0.007740376142670282,0.006081239832661868,-0.01346099771948328,-0.0013271572854050668,-0.004848502360727964,0.0013633954984616367,-0.02127371583567164,-0.02911500545239147,-0.028834713755178567,-0.0066580880058422645
TRIM28,0.011260266893564758,0.015148547594327101,0.00494227114311756,0.0016166078117663364,0.020246683628557638,-0.0003917743741556197,0.0022309208214194623,-0.01824861185667254,-0.005256611165641122,0.004981098677426108
YY1,0.022460515962386445,0.009570951065566805,0.018786242013623385,0.0044677299681494574,0.021652083541276488,0.021469246068220618,0.027508540595416294,0.024221981408579823,0.02730438877359038,0.014360210438713104
