,HDAC1,HDAC2,HDAC3,HDAC4,HDAC5,HDAC6,HDAC7,HDAC8,HDAC9,HDAC10,HDAC11,SIRT1,SIRT2,SIRT3,SIRT4,SIRT5,SIRT6,SIRT7,KAT2A,KAT2B,HAT1,ATF2,KAT5,KAT6A,KAT6B,KAT7,EP300,CREBBP,NCOA1,NCOA3,TAF1,GTF3C1,CLOCK,SCN5A,CACNA1C,KCNH2,KCNQ1,KCNJ2,ATP1A1,SLC8A1,ATP2A2,RYR2,GJA1,ARNTL,CLOCK.1,CRY1,CRY2,DBP,NR1D1,NR1D2,PER1,PER2,PER3,RORA,RORB,FOXO1,FOXO3,GATA4,GATA6,HIF1A,TRIM28,KLF4,KLF5,MEF2A,NFAT5,NFKB1,NKX25,NOTCH1,RUNX1,SHMT2,SOD1,TBX5,TGFB1,YY1,AACS,ACAT1,ACAT2,BDH1,BDH2,HMGCL,OXCT1,OXCT2,HMGCS1,HMGCS2
count,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0
mean,1.3943916666666665,0.7907482142857143,1.4158369047619048,0.6137184523809525,1.430925,1.155072023809524,1.417470238095238,0.511320238095238,0.1194721469047619,0.13744488642857142,1.188977261904762,0.6582482142857143,1.5697535714285713,1.0879741666666665,0.5896559761904762,1.1091059523809526,0.9119430952380954,0.823005,1.4935261904761905,1.2403372619047617,1.161941785714286,0.8110476190476192,1.1445863095238094,0.6864121428571429,0.6206252380952382,0.8574579761904763,1.0254688095238094,0.9745040476190476,1.0201865476190475,1.0050407142857145,0.6947134523809524,1.2850488095238095,0.6766138095238096,1.6898259523809527,1.1440284523809523,1.5581365476190479,1.228157857142857,0.901419047619048,2.0145595238095235,1.233050238095238,2.694714285714286,2.012150952380952,1.9802285714285714,0.7761463095238096,0.6766138095238096,0.8726524999999999,1.5513727380952382,0.49515848809523805,1.2475636904761906,0.9303465476190477,1.714720238095238,0.3109994071428572,0.6458924285714285,0.43903170238095235,-0.17575966821428568,0.8330900000000001,1.0500150000000001,1.7207642857142853,1.5114357142857144,1.3372771428571428,1.776615476190476,1.3814898809523812,0.16632940476190475,1.4589786904761903,0.5574272142857143,0.8604089285714284,2.160902380952381,0.96701,-0.14295941666666664,1.2533309523809524,2.2605166666666667,1.266465357142857,1.1555385714285715,1.0951946428571429,0.7282725,1.930404761904762,0.527750369047619,1.1962345238095236,1.1450639285714286,1.0270455952380952,1.8814011904761905,-0.42945028690476195,0.9324417857142857,1.0810100714285713
std,0.08487592107253769,0.11499736234964354,0.07526140593982426,0.0942077133093337,0.13435015110676146,0.10046444813578755,0.13678941143034684,0.11250984080093199,0.1970245324091973,0.26339190874446017,0.15375886245670126,0.11529712208825095,0.12516346751967627,0.15374430119487226,0.212401371919535,0.1724255766125385,0.12577846575680357,0.15195623075035597,0.21519851979103488,0.19762556117507146,0.1495512988681755,0.09689458779343847,0.11242535841137949,0.10386832031003264,0.11775339366328148,0.13162894688213772,0.11974077956206881,0.08884983686608679,0.10763160849944792,0.11610945152925066,0.09469371226939598,0.10438699371280417,0.16550238672544484,0.23807942604582816,0.13771539959469975,0.1953020607883553,0.13985654303280837,0.21310357934394844,0.25067235761459555,0.2544778436113825,0.28387011969155984,0.3124791284851535,0.2371187758753688,0.18879970858908848,0.16550238672544484,0.1846318540105186,0.17237106157448853,0.34087983364959534,0.24535267684132622,0.2134567002535132,0.16381789314847536,0.23672555464887665,0.2550097124304057,0.13014856356355742,0.3503352181302069,0.12513061880069876,0.12897992961921756,0.13373100373408034,0.11581030984221011,0.2254945921215756,0.09483880108550916,0.27826116179777205,0.32543662350680114,0.20496586928206764,0.15306154675407116,0.1118313254713076,0.15290034156957952,0.17371688344884825,0.4572369357546415,0.15977170608888147,0.11606004348947624,0.2932201592432176,0.20935600577043753,0.08672704971854492,0.11853200351605518,0.23382822853320934,0.21057581059949226,0.24344935895267686,0.15769610221262628,0.13730828004720233,0.2762498914546142,0.44203822010903654,0.22137505816214004,0.8277619651719885
min,1.1518,0.41111,1.2148,0.40731,1.1505,0.89111,1.1256,0.14901,-0.46052,-0.76557,0.60229,0.32772,1.2404,0.51197,-0.26875,0.49388,0.63933,0.55457,1.0724,0.69984,0.78789,0.59501,0.84931,0.32511,0.22618,0.40597,0.71873,0.81225,0.77865,0.67343,0.42754,1.0642,0.15914,0.89418,0.77877,0.83037,0.62603,0.24666,1.4563,0.24983,1.855,0.77848,1.307,0.10011,0.15914,0.38184,0.93497,-0.54201,0.59606,0.25701,1.2182,-0.27767,-0.021066,0.062673,-1.3227,0.47715,0.61925,1.1855,1.1216,0.77893,1.5236,0.91047,-0.61152,0.92514,-0.066274,0.49529,1.5676,0.66504,-0.86494,1.0347,1.8505,0.11917,0.8051,0.80909,0.44092,1.1769,0.038685,0.25041,0.64949,0.69472,1.1158,-1.5603,0.38908,-1.085
25%,1.33475,0.7281875,1.373,0.5508325000000001,1.339525,1.0887,1.32735,0.4385875,-0.013415999999999999,-0.017850500000000002,1.1103750000000001,0.5937625,1.5071,1.0209000000000001,0.518495,1.0628,0.830515,0.727325,1.34335,1.126525,1.0689250000000001,0.747405,1.076425,0.615195,0.5582575,0.795085,0.9634475,0.9156725,0.961685,0.950535,0.642705,1.2257,0.5793825,1.56335,1.0726499999999999,1.4299,1.17485,0.7993574999999999,1.828125,1.051225,2.497275,1.8764750000000001,1.84765,0.6712,0.5793825,0.7425174999999999,1.4808000000000001,0.29818249999999996,1.127375,0.8464349999999999,1.627575,0.1445075,0.534715,0.35501249999999995,-0.387385,0.7589275,0.9571725,1.66815,1.453825,1.190125,1.715625,1.19715,-0.0398555,1.3258750000000001,0.51169,0.8016150000000001,2.07165,0.84841,-0.502805,1.14365,2.1923250000000003,1.19085,1.00415,1.04985,0.644965,1.8486250000000002,0.4153925,1.068225,1.0751,0.91168,1.730925,-0.7374575000000001,0.8064925000000001,0.6135349999999999
50%,1.3883,0.7965599999999999,1.41765,0.608045,1.4328,1.15365,1.39235,0.516355,0.12395500000000001,0.143345,1.1875499999999999,0.65587,1.57245,1.12175,0.6167499999999999,1.13825,0.8955249999999999,0.801495,1.46375,1.2788,1.1522999999999999,0.81766,1.1572,0.69527,0.63534,0.891875,1.0300500000000001,0.9738100000000001,1.03945,1.02715,0.706985,1.2929499999999998,0.69484,1.7319499999999999,1.15455,1.5882,1.2412999999999998,0.91724,1.98175,1.2819,2.761,2.07315,1.9785,0.80357,0.69484,0.87398,1.58075,0.49339,1.23135,0.991915,1.70905,0.30275,0.699595,0.440555,-0.188855,0.8311649999999999,1.04285,1.7398,1.5127000000000002,1.35595,1.77955,1.3224,0.132965,1.48445,0.57826,0.8576550000000001,2.1426,0.9496800000000001,-0.229985,1.20835,2.26885,1.3215,1.13525,1.0939,0.73309,1.98335,0.5261750000000001,1.2616,1.1314000000000002,1.05185,1.9428999999999998,-0.41063,0.977495,1.2717
75%,1.4501,0.8518175,1.467225,0.6737974999999999,1.5126249999999999,1.2186,1.4989249999999998,0.5775575,0.2430025,0.29914,1.314825,0.73878,1.659975,1.161,0.72528,1.21815,0.9952700000000001,0.8917225,1.6221,1.3884249999999998,1.26565,0.867285,1.22405,0.7523625,0.7015175,0.94803,1.105,1.026825,1.0941750000000001,1.06625,0.7455025,1.342875,0.7845675,1.8706749999999999,1.22465,1.6990750000000001,1.318825,1.0683,2.1681250000000003,1.40735,2.907525,2.2329749999999997,2.142175,0.90219,0.7845675,1.013675,1.6486750000000001,0.7253175,1.4018000000000002,1.064325,1.7971249999999999,0.438005,0.794165,0.5064150000000001,0.10651250000000001,0.905205,1.1255249999999999,1.8073,1.58025,1.457175,1.8355,1.5152,0.365365,1.6083749999999999,0.6482025,0.9242025,2.2464500000000003,1.08105,0.1693225,1.329325,2.3336,1.438075,1.262375,1.13715,0.8136125000000001,2.079975,0.613355,1.371225,1.240525,1.124075,2.094875,-0.10647474999999999,1.096225,1.615675
max,1.6496,1.0785,1.5983,0.88629,1.8001,1.4476,1.8215,0.7986,0.52361,0.99469,1.4673,0.98372,1.822,1.4434,0.93791,1.3996,1.2496,1.3328,2.1586,1.5466,1.53,1.1004,1.3755,0.94037,0.81676,1.0584,1.2734,1.2135,1.3306,1.3061,0.9504,1.5964,0.97709,2.0686,1.5274,1.952,1.4888,1.3749,2.6037,1.7723,3.1391,2.525,2.4568,1.0943,0.97709,1.2439,1.8774,1.4174,2.1238,1.4183,2.1453,1.0106,1.4535,0.81906,0.49881,1.1218,1.411,1.9762,1.762,1.9297,1.9971,2.2251,1.0694,1.8421,0.8403,1.1604,2.4949,1.6133,1.2762,1.7266,2.5129,1.6948,1.836,1.3143,1.0553,2.2814,1.1314,1.5913,1.6224,1.3131,2.2946,0.52272,1.4984,2.7066
