,FOXO1,FOXO3,GATA4,GATA6,HIF1A,KLF4,KLF5,MEF2A,NFAT5,NFKB1,NKX25,NOTCH1,RUNX1,SHMT2,SOD1,TBX5,TGFB1,TRIM28,YY1
HDAC1,0.0013237302134754747,-0.0006692448052704282,0.005332265668660026,0.0016170205216215186,0.0017489855647424613,0.005468803784197951,0.011498396284807791,-0.004512973489386624,0.004226672430338144,0.005953492200935784,0.010812140844993231,0.012076541288941187,0.029980133052802786,0.011049489939335003,0.0019333984031736583,-0.00242355118858964,0.015398223796536815,0.00941675662096339,0.003555789107245975
HDAC2,0.0007252035462891139,0.004650659096634,0.0046270014042257696,0.0016451595075861402,0.02782016282300887,-0.014611222447897181,0.010809568977294978,0.008796926416823505,0.007792852371418389,0.0073398534090387485,0.011241642490974662,0.000495330580028313,0.0381847092930751,0.017044388003049343,-0.00013375400953845876,-0.016484463175857365,0.017497279766090862,0.005984466137222252,0.006743120997504536
HDAC3,-0.0037616717920775635,-0.0025379365537943803,0.01150487133588488,0.00609542108719854,0.005692737337566439,-0.002665308308547806,-0.010455586722754089,0.0047843221926497405,0.0014204585784364958,0.001606369187053472,0.017471175148254366,-0.000680395851784476,0.008266444576769833,0.0055823375616197045,0.006032222844560414,0.011007795382395094,0.005141808015010292,0.005580441140807899,0.0026503797681617625
HDAC4,7.956345033563721e-05,0.000427056448268257,0.007022118810706334,0.003986751009639813,0.0027684509445317323,0.0014374750986908896,-0.002934592469201707,0.004279267746054918,0.003427995326511717,0.00224435243977541,0.008446117234198226,0.0015034164579785577,0.003646960256952065,0.002894401161713778,0.004260516532975756,0.008299071594976814,0.003534836537727864,0.0037394128895379807,0.0026403568707924984
HDAC5,0.0005514787063562031,-0.002073774966639431,0.0074736435278449954,0.00398291469618054,-0.009793912469452446,0.01149585388172835,-0.0018155695728593628,-0.002363080350778892,0.0019747443539623226,0.001880911509659538,0.00847065108315609,0.007725758122056657,0.000985407584938,0.00045139933877434826,0.005291162882548619,0.014865161402008725,0.003209493310175865,0.005783659482224453,0.0012744926146312132
HDAC6,-0.00562326928349921,-0.007717887690765709,0.01182599037238701,0.0056084078742504725,-0.008926836279730892,0.006507522490530441,-0.01191246482898149,-0.005252424581964917,-0.00306340453452003,-1.549243935473452e-05,0.019788164086576746,0.005377818581047126,0.007802127283589646,0.0035217548066883188,0.006469732806346557,0.016596971825961333,0.004876679582392805,0.007933297754971811,-8.820230462252323e-05
HDAC7,0.005459674974688602,0.00011787469912854031,-0.0045838491558951675,-0.0047142643047276235,-0.006386967666776415,0.013087308576341416,0.03041599104012605,-0.015859543917622027,0.0036373013969641923,0.007410078211166149,-0.0011327098872221282,0.021796278916093623,0.04159338877303287,0.011937448589808424,-0.004040963050855789,-0.016768007299225056,0.01986007309527381,0.009695647158788442,0.001961822451911699
HDAC8,-0.0012259367795726657,0.0025014563454734857,0.00831580911007805,0.004084682426766337,0.022486898858693462,-0.012281422342207896,0.0009860178695506939,0.009811658274788177,0.006045372399855814,0.0052843799574148545,0.01478979606302246,-0.0017633375267679763,0.026205819643002563,0.013098707167290042,0.002774203015225749,-0.005472944400596459,0.012598983556405407,0.0055869564108100385,0.005769084228008664
HDAC9,0.0051188256819670935,0.0070459070205156705,0.005087595203903977,0.004846899142984144,0.0039735598579167765,0.0026665576385828693,-0.004953079484316445,0.015118096934619385,0.008323081783986493,0.001521774273517016,-0.0032705924013753523,-0.004748514935745192,-0.023106732901064242,-0.005964075929161828,0.0054944102871976345,0.015834635909138837,-0.006928367320025399,-0.0024412383666414326,0.003726550309634724
HDAC10,-0.0023238789712666436,-0.005972050072377332,0.0019785426071942244,-0.0010390811974475102,-0.006741565643358896,0.006504535825255298,0.009169613509233964,-0.014103010903978454,-0.002701889655595837,0.002795891087583466,0.01060738164515077,0.013116484304953706,0.031222734314750884,0.009632607689970048,-0.0007083038727934434,-0.00592623894624604,0.013846344510971753,0.008850751598058131,-0.0003024549293910711
HDAC11,-0.002953289342916156,-0.006397739836321656,0.011298230822187354,0.007443356825558464,-0.026516079522386996,0.018176788796733612,-0.02418613989083033,-0.0012059986154748503,-0.0036742864798809975,-0.004928293538858406,0.008477641685728565,0.0006352197081291495,-0.03792960448186669,-0.013793941893375846,0.009974429973155752,0.039107747542827496,-0.01385772040479029,0.0010530114012089911,-0.0028725118622477527
SIRT1,0.016196477333066416,0.014285304981494976,-0.004678605152402378,-0.0009003895159080385,-0.0009390611732733582,0.016111649269035997,0.02684344528765484,0.008575660726642327,0.01625963127380254,0.0079740069408847,-0.02001042887450248,0.010837881047228428,-0.007053227521440501,-0.0030619691102804474,0.0006112928172082971,0.001394149566706663,0.002321333167809245,-0.00014346990507241468,0.0061613691351921985
SIRT2,-0.002285131193955344,-0.004288160377765482,0.01085532092717436,0.007000119773169753,-0.017181258847214748,0.012644228767160865,-0.019617422590293487,0.001664054943369541,-0.0014030842826124879,-0.0029589631611324865,0.009205566324871161,-9.741261423637027e-05,-0.027389841440040814,-0.009189317541878598,0.008847920302780614,0.03149632036795413,-0.009391257333062196,0.0016676055051448946,-0.0010826770635549501
SIRT3,-0.004982647018996121,-0.004081883982883678,0.014217789801554869,0.010423707771682533,-0.015681419509354966,0.007007647759671276,-0.03903555423425978,0.011839499578201395,-0.0031262868789601905,-0.007609364136764038,0.00919917933825304,-0.01303969116366878,-0.05723968678345088,-0.01813275408246257,0.012157537756365211,0.04524807887335275,-0.02298117474292026,-0.004414379261065928,-0.0022720472544522172
SIRT4,-0.006355171785108503,-0.00618074724672108,0.01708382415997147,0.011028089239986211,-0.013943212798224698,0.007189342794635555,-0.03561616269825024,0.008128938579936134,-0.0030644587719773184,-0.005425688008806418,0.017084823034613818,-0.008086358120658768,-0.03922217882803389,-0.011499387826065462,0.012643135451530644,0.04225930930762821,-0.014757663146614114,0.00047644471301959543,-0.0012104338393867048
SIRT5,-0.0015487518960873635,-0.0025349216199021876,0.01319267271949906,0.01011939424307272,-0.022713401260785852,0.01535205906935314,-0.033559656749684384,0.01015737959165135,-0.0008852643327156242,-0.006509961023306276,0.0046039112701632716,-0.008113985709498032,-0.06151247492609491,-0.02060166072864579,0.012692258969429883,0.04905986472234684,-0.023446902706605908,-0.0038289870819609045,-0.001966045057021177
SIRT6,-0.00373744944291943,-0.005007433068722593,0.0032294484702011655,-0.001509424835627905,0.011404424061612186,-0.005305255110325471,0.016805091274803306,-0.012259398314246085,-0.0004138402257004028,0.006804183319149899,0.018759176005671216,0.013626584299410736,0.06235978832964628,0.022417322316809644,-0.0026760704088385472,-0.022131172771534178,0.02675792982513808,0.01291081555155385,0.002863583637001025
SIRT7,0.0008212391269703015,-0.0019263949883859312,-0.002449718078296289,-0.004239196527504245,0.00583922789827313,0.0009021676647174495,0.0257959909051002,-0.014053518469297796,0.0014564450659806077,0.007274931094267392,0.0075114762752049695,0.016877853903868225,0.055839694013296186,0.018542301412968417,-0.00487051939238562,-0.024729859946107283,0.02437494330861089,0.01070304530095178,0.00243350543482483
KAT2A,-0.0018043898242124112,-0.007264686117424075,0.004720259785277113,0.0011623259490007895,-0.01911517547404092,0.01594723443339224,0.0023487015348599163,-0.014704389917143575,-0.0032888805730664802,0.0010142254153452834,0.010055952265142484,0.014287404337742466,0.013025645362180899,0.0025818690740257496,0.0027065181914972267,0.009345646228887023,0.0072324753232399135,0.008420358337273651,-0.0014903908991118196
KAT2B,0.0017478921487290358,0.0056669649198583,0.007400787884976474,0.006797844992199768,0.00570255531848,-0.0029206966999125975,-0.01867985690229927,0.020075488046399824,0.005586699914533715,-0.0019148002341770197,-0.0009947686398083645,-0.013450854325515918,-0.038368193443303,-0.010327131355642592,0.007140356681838468,0.022694587004595417,-0.014581102586172595,-0.005879950910070137,0.002445577624416718
HAT1,-0.0026999098922397477,0.0035286391906499326,0.005851673375425621,0.0028563380207045678,0.031711596549608666,-0.022069416625554426,-0.0012649979274824772,0.013546540236466535,0.004955581610856374,0.004104832095087495,0.012914635674782066,-0.008493096989773605,0.02617828236117281,0.013822634910276278,0.0005224041453756898,-0.013224208233316204,0.010876533598107897,0.0023511073857752692,0.005507333572079044
ATF2,0.015088788776561264,0.009564254018823068,-0.006709659753239317,-0.0038211135314448245,-0.009078164462528517,0.022581580667965388,0.0376567345639174,-0.005619906059349744,0.013017163991277796,0.009641561305158593,-0.016260168184559234,0.022329376248592544,0.017149256026778695,0.0033508731461451926,-0.0020027982854695855,-0.0072110452358625735,0.012459380155697699,0.005684456842561331,0.00481649549200284
