,SCN5A,CACNA1C,KCNH2,KCNQ1,KCNJ2,ATP1A1,SLC8A1,ATP2A2,RYR2,GJA1
FOXO1,-0.06396091852211391,-0.018234546318597167,-0.190442183808705,-0.04283155662514147,0.35308032884607576,0.030637179937384726,0.24368935734941005,-0.022143861797224298,0.11234716858484436,0.21262880361930198
FOXO3,0.48962223680044425,0.43377862376434084,0.29831307233860765,0.2927248411450564,0.1420435279293108,0.37666988756030867,0.4758997785606096,0.4762737150603688,0.36771294336322113,0.4700351690505472
GATA4,0.812050700393408,1.0,0.7175530548174395,1.0,0.48745705415478313,0.15569089255939736,0.5743304030922013,0.6516666522087805,0.5025237885885608,0.622248716988014
GATA6,0.3781424381910635,0.5221405475557438,0.20777574310019242,0.7063910605438974,0.8064945981034018,-0.2154141395175107,0.5060646354085419,0.30091961378996435,0.46242103192326217,0.5253129745491549
HIF1A,1.0,0.9377800134908727,1.0,0.4619547576187226,-0.6930417620850706,1.0,0.34878446373482475,0.8884199602349724,0.24085712810523302,0.3827698805279134
KLF4,-0.8423035551035305,-0.6969891401428345,-0.9255045196726238,-0.3566918682261553,0.8833853376940766,-0.7573935002662954,-0.06392714393816967,-0.7325494182425069,-0.11745431666985762,-0.11572596995405673
KLF5,-0.5693091178159587,-0.5038575472266233,-0.4899026224846288,-0.6547506879202907,-0.15987521861362214,0.08041403164044111,-0.24809160867000316,-0.4702684004914585,-0.3949205577529922,-0.3004634021301937
MEF2A,0.9912901677261947,0.6372688943928776,0.45039467445509623,0.652718181048482,0.49668527070961505,0.3652798005904913,1.0,1.0,1.0,1.0
NFAT5,0.3496349888794433,0.2774739706263388,0.054804219310103985,0.2191747201004477,0.44439359984320653,0.23148992070430294,0.5888162861528999,0.38095777430146693,0.4534068665500824,0.5626077731449675
NFKB1,-0.17626091997142082,-0.21791503621101563,-0.3614228285576566,-0.3099775256086719,0.2662509678845389,0.14069579557370981,0.25477266728280257,-0.07356982536472298,0.08567830566942601,0.19871019014404934
NKX25,0.4819297580353522,0.9866992135273693,0.84877913591427,0.8212156256427631,-0.11174458970246182,0.20102993408048342,-0.07730756202729264,0.23550873189231347,-0.17997934164175794,-0.0028090924917769963
NOTCH1,-0.70137623859139,-0.3004511023384712,-0.38902218291324314,-0.35612244410223437,0.041667121415149756,-0.21414441579736151,-0.45824953020752884,-0.7067543054125218,-0.6202065110411445,-0.47880908089267427
RUNX1,-0.5976898818014689,-0.33438635710676995,-0.2872301170999079,-0.5777398360440198,-0.4098712643183455,0.1405404971823439,-0.49851376453426083,-0.5728139482761462,-0.6726505287583583,-0.5279522345586117
SHMT2,0.15162302503030567,0.5529594392264285,0.6039157201924237,0.07999891955872535,-0.7800358416040236,0.6246408313544953,-0.36575565321875964,0.00710486877307713,-0.5684870234212035,-0.33557400367023815
SOD1,0.48215007727490894,0.3847953346679875,0.1264960039878901,0.5493159091177403,0.7505578257622851,-0.07621022856450113,0.6836905533083261,0.47591483414977653,0.6685674811618473,0.6830760941213716
TBX5,0.31159578724089965,0.2086399692261012,-0.058356123059877016,0.5807584329364753,1.0,-0.44111760247870224,0.6165539157607145,0.3123967509829866,0.6927643870062821,0.621856739803425
TGFB1,-0.42042347282414383,-0.07857563338362727,-0.10099140146990243,-0.3262813615471472,-0.30564580853804213,0.16826942232934208,-0.39579264310547496,-0.4438104149202069,-0.5917194653468,-0.4109888194163353
TRIM28,-0.38119041638934065,0.12907115918623552,-0.026047325077772514,-0.04343155255126559,-0.0017704776942429764,0.01267934274607964,-0.3276525554979193,-0.459658539810645,-0.5544859151912237,-0.3290341366796199
YY1,0.5075305462746208,0.5526550642865906,0.3538797300326579,0.35040573603231523,0.17956456241161908,0.44815460969500814,0.5032594164989602,0.4733968753761552,0.32550742001179606,0.49640533365386263
