,SCN5A,CACNA1C,KCNH2,KCNQ1,KCNJ2,ATP1A1,SLC8A1,ATP2A2,RYR2,GJA1
KAT2B,0.4351939121257507,0.22904641788556576,0.5689390523451014,0.2410972488243988,0.7374774988958434,-0.009364705396646234,1.0,0.7758849596438242,1.0,0.9911408227170787
HAT1,0.6716589847040938,0.538653468970441,0.4948395316874645,0.5487215158577408,-0.3180601095693347,0.9775736208648251,0.5307240283435526,0.8348729352488878,0.46728758286656163,0.37519766945273775
ATF2,-0.8235827280290752,-0.5618585496140992,-0.8956069975852589,-0.9077543763076211,0.6204664146163896,-0.5292139126739116,-0.3978055949533377,-0.8160447476193581,-0.61164234327968,0.12981601591955708
KAT5,0.658442048091835,0.6373350796211132,0.6586221732266659,0.5828664171531278,0.02137107690937237,0.6349443105266095,0.5323005311326234,0.6976791948031884,0.5611471347223768,0.3679668230835174
KAT6A,-0.2509948557627494,-0.10415786155444681,-0.5034234230784247,-0.33255845934785666,-0.11990244730068708,0.38633880152182987,-0.2676938168224505,-0.2370584128452881,-0.4754271267806538,-0.007603019072208089
KAT6B,0.1288839130161969,0.12611806958234723,0.29026477795565314,-0.021354981595313304,0.8975404090204311,-0.2586711068897247,0.6503789311628613,0.31057740452389065,0.6324456602226813,0.7874130569328923
KAT7,0.5644458159954034,0.4764414887036881,0.6376946889236799,0.4266095907826365,0.4171036507125552,0.32999803279753576,0.7752606106939248,0.7391984891718456,0.7894584880565532,0.6963418136158134
EP300,0.32195756108663276,0.30324345527929625,0.30215108522186707,0.17071817183206128,0.37735009963059923,0.3333654186296932,0.5510023724994507,0.4865582974750844,0.48051816650456375,0.6103827591314736
CREBBP,-0.21395267767938236,-0.09005475178785544,-0.22305619886271041,-0.3607182758419548,0.6837875388217475,-0.1470072315076991,0.21276518867974237,-0.0956791111392148,0.07056375113343935,0.5294230192395872
NCOA1,-0.08781266487330468,-0.06668860274611145,-0.21399171926432398,-0.25653650720871146,0.3614389805731329,0.182511929226662,0.25912616138457567,0.10830366422651969,0.07928763753711782,0.5133090166862029
NCOA3,0.2996991127415969,0.42929119314715014,0.2151782059902579,0.2717891128707104,-0.12363222215332062,0.5575374457877023,0.050700346349073444,0.2107673551335797,0.016669879094240145,0.026178547048673964
TAF1,0.07025829595042445,0.27307808249487486,-0.029244553302412622,0.03621360173617928,-0.001986666354605655,0.40144673709996076,-0.10129897893819252,-0.03784955755409303,-0.18110491394009,-0.0004121674727080034
GTF3C1,1.0,1.0,1.0,1.0,-0.3689705257531159,1.0,0.4802658214672792,0.8964794893959955,0.5977980932783431,0.10029560904302273
CLOCK,0.37258083698378763,0.2426306143980781,0.2762439405896894,0.1774879863842909,0.25649149471378224,0.48809064384579165,0.6705806554000973,0.6575994032524074,0.5568596420778952,0.7198337736998147
