,SCN5A,CACNA1C,KCNH2,KCNQ1,KCNJ2,ATP1A1,SLC8A1,ATP2A2,RYR2,GJA1
FOXO1,-0.18104361357462823,-0.256872059805821,-0.23754481599913846,-0.2788001229558338,-0.1260645729484644,0.3092805922353382,-0.09842353849638899,0.021471323164192518,-0.12788430823414207,-0.18352507418192138
FOXO3,0.035081490628052325,-0.16542729597755917,0.06285336153093346,-0.24782495009391958,0.282637318132439,0.21063343516364993,0.28389640063709765,0.21178444717329853,0.2647869915036001,0.013238192284846757
GATA4,1.0,1.0,1.0,1.0,0.5104627284433263,0.3614487773821208,0.9295946914823573,0.8986282429301804,0.9395204135986307,1.0
GATA6,0.6090095042697212,0.584719702628558,0.7025435368980877,0.2742057631542272,1.0,-0.24042713087749254,0.7296538418183308,0.17880388482209525,0.6725886834188973,0.537248168635972
HIF1A,0.3409882297861801,0.17980661542819448,0.22714378171321287,0.5172978355939707,-0.5223910345227555,1.0,0.3352694161697699,1.0,0.39943616341967486,0.41713276151918427
KLF4,-0.27500877964809883,-0.11775649363599784,-0.27035770029632256,-0.3819313775418516,0.24315196945595025,-0.46435799171871606,-0.33081166383551935,-0.6985868271207262,-0.40967580312719276,-0.32938287171535563
KLF5,-0.4965722808453007,-0.44325290308373677,-0.5354903820196895,-0.7089653245262699,0.09660736975634684,-0.1730994556462182,-0.4397161263794103,-0.6769322791346388,-0.5382858901435129,-0.5502040026302026
MEF2A,0.9620451110670496,0.8845835213551333,0.9815918657865332,0.8361485329018656,0.6364418728904132,0.38041653929446195,1.0,0.9063858631252777,1.0,0.9495699223148801
NFAT5,0.40292168260477984,0.3892572021920518,0.39935277861733837,0.12421532998444382,0.6436146876084777,0.11041459718485237,0.4792354729924736,0.1723076366128341,0.40071307808068196,0.34651208234662983
NFKB1,-0.053609387775509554,-0.13762449300883742,-0.1349288996668198,-0.11547673346087609,-0.1746444281908881,0.4918982819368611,0.0054474402421718525,0.22393193589199592,-0.017997787734268772,-0.04540565384558763
NKX25,0.6476310902972061,0.5514884459141821,0.7375382658475425,0.5300723785812134,0.5629966796674953,-0.005702072883908823,0.7414143073580346,0.5591133718505259,0.7704811154198798,0.6366502338232418
NOTCH1,0.05210027827961623,0.5118336770590005,-0.12193979049319607,0.14404249243860084,0.14626981511230125,-0.10194551986390593,-0.37218535422570753,-0.6403684458095298,-0.5353457882139883,-0.010059873384470461
RUNX1,-0.2985453534014494,-0.1219072034763385,-0.454777375173719,-0.15098289797698186,-0.4502648269109507,0.27369678078899673,-0.5071012571869868,-0.2963840456899304,-0.5694857426535803,-0.2934472604848246
SHMT2,0.30597783107120113,0.4800637198581551,0.11444097067358888,0.5032844647813801,-0.2896876278978352,0.6679162857898758,0.027990447851613812,0.3502524879573769,-0.02464126441368948,0.3241845641807438
SOD1,0.529036666361104,0.22941023955718412,0.631584495793733,0.2876771511360508,0.4732378049739349,0.2671944313299518,0.8248418844083459,0.7933954540295902,0.877544289217303,0.5315402639501126
TBX5,0.4142434538781017,0.2168426147996578,0.5790682559396373,0.1501107141122489,0.6913549276454156,-0.2612816320424987,0.6726075123259749,0.3388141129819393,0.7094175647194048,0.3879772136873324
TGFB1,-0.14361210927235732,0.1792860811532422,-0.29860978508944747,-0.03405551606266626,-0.1216555070748396,0.021243204221398002,-0.4551622116055107,-0.5221007843211815,-0.5691046315725277,-0.17583017306334525
TRIM28,0.20891887548460367,0.44660691044666,0.10963604293343299,0.04148296053985557,0.508016781298672,-0.006104276454109476,0.047731710944986704,-0.3272406930756373,-0.10374862001898516,0.13154338628881468
YY1,0.4167242021898689,0.2821691557433319,0.4167414486822873,0.11464417320176991,0.5432801732296757,0.33451451117541575,0.5885595291469846,0.43435731145273915,0.5389009318851476,0.37923173806795735
